Time (local),Ozone (ppm)
2025-07-07_09:24:39,0.019
2025-07-07_09:26:29,0.019
2025-07-07_09:27:25,0.019
2025-07-07_09:28:20,0.018
2025-07-07_09:29:15,0.019
2025-07-07_09:30:11,0.019
2025-07-07_09:31:06,0.020
2025-07-07_09:32:02,0.019
2025-07-07_09:32:57,0.018
2025-07-07_09:33:52,0.018
2025-07-07_09:34:48,0.019
2025-07-07_09:35:43,0.019
2025-07-07_09:36:38,0.018
2025-07-07_09:38:29,0.018
2025-07-07_09:39:24,0.018
2025-07-07_09:40:20,0.018
2025-07-07_09:41:15,0.018
2025-07-07_09:42:11,0.018
2025-07-07_09:43:06,0.018
2025-07-07_09:44:01,0.018
2025-07-07_09:44:57,0.019
2025-07-07_09:45:52,0.019
2025-07-07_09:46:47,0.020
2025-07-07_09:47:43,0.020
2025-07-07_09:48:38,0.020
2025-07-07_09:50:29,0.019
2025-07-07_09:51:24,0.020
2025-07-07_09:52:20,0.020
2025-07-07_09:53:15,0.020
2025-07-07_09:54:10,0.020
2025-07-07_09:55:06,0.020
2025-07-07_09:56:01,0.019
2025-07-07_09:56:56,0.019
2025-07-07_09:57:52,0.020
2025-07-07_09:58:47,0.020
2025-07-07_09:59:43,0.019
2025-07-07_10:00:38,0.019
2025-07-07_10:02:29,0.019
2025-07-07_10:03:24,0.018
2025-07-07_10:04:19,0.018
2025-07-07_10:05:15,0.017
2025-07-07_10:06:10,0.017
2025-07-07_10:07:06,0.016
2025-07-07_10:08:01,0.017
2025-07-07_10:08:57,0.017
2025-07-07_10:09:52,0.017
2025-07-07_10:10:47,0.018
2025-07-07_10:11:43,0.018
2025-07-07_10:12:38,0.017
2025-07-07_10:14:29,0.017
2025-07-07_10:15:24,0.017
2025-07-07_10:16:20,0.018
2025-07-07_10:17:15,0.018
2025-07-07_10:18:10,0.018
2025-07-07_10:19:06,0.018
2025-07-07_10:20:01,0.017
2025-07-07_10:20:57,0.018
2025-07-07_10:21:52,0.019
2025-07-07_10:22:47,0.018
2025-07-07_10:23:43,0.018
2025-07-07_10:24:38,0.018
2025-07-07_10:26:29,0.019
2025-07-07_10:27:24,0.019
2025-07-07_10:28:19,0.018
2025-07-07_10:29:15,0.019
2025-07-07_10:30:10,0.019
2025-07-07_10:31:05,0.019
2025-07-07_10:32:01,0.019
2025-07-07_10:32:56,0.020
2025-07-07_10:33:52,0.020
2025-07-07_10:34:47,0.020
2025-07-07_10:35:42,0.021
2025-07-07_10:36:38,0.021
2025-07-07_10:38:28,0.021
2025-07-07_10:39:24,0.021
2025-07-07_10:40:19,0.021
2025-07-07_10:41:14,0.021
2025-07-07_10:42:10,0.021
2025-07-07_10:43:05,0.022
2025-07-07_10:44:00,0.022
2025-07-07_10:44:56,0.022
2025-07-07_10:45:51,0.020
2025-07-07_10:46:47,0.021
2025-07-07_10:47:42,0.021
2025-07-07_10:48:37,0.021
2025-07-07_10:50:28,0.021
